,ID,FULL_NAME,FIRST_NAME,LAST_NAME,ACTIVE,IMAGE_LINK
386,2544,LeBron James,LeBron,James,True,https://cdn.nba.com/headshots/nba/latest/1040x760/2544.png
387,1641778,Leaky Black,Leaky,Black,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641778.png
388,1631159,Leonard Miller,Leonard,Miller,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631159.png
389,1631311,Lester Quinones,Lester,Quinones,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631311.png
390,1641857,Liam Robbins,Liam,Robbins,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641857.png
391,1629623,Lindell Wigginton,Lindell,Wigginton,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629623.png
392,1630322,Lindy Waters III,Lindy,Waters III,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630322.png
393,1629022,Lonnie Walker IV,Lonnie,Walker IV,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629022.png
394,1628366,Lonzo Ball,Lonzo,Ball,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628366.png
395,1629652,Luguentz Dort,Luguentz,Dort,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629652.png
396,1629029,Luka Doncic,Luka,Doncic,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629029.png
397,1630568,Luka Garza,Luka,Garza,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630568.png
398,1629677,Luka Samanic,Luka,Samanic,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629677.png
399,1628379,Luke Kennard,Luke,Kennard,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628379.png
400,1628436,Luke Kornet,Luke,Kornet,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628436.png
401,1630644,Mac McClung,Mac,McClung,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630644.png
402,1630588,Makur Maker,Makur,Maker,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630588.png
403,1630201,Malachi Flynn,Malachi,Flynn,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630201.png
404,1641869,Malachi Smith,Malachi,Smith,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641869.png
405,1631103,Malaki Branham,Malaki,Branham,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631103.png
406,1627763,Malcolm Brogdon,Malcolm,Brogdon,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1627763.png
407,1630608,Malcolm Cazalon,Malcolm,Cazalon,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630608.png
408,1630792,Malcolm Hill,Malcolm,Hill,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630792.png
409,1627736,Malik Beasley,Malik,Beasley,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1627736.png
410,1628370,Malik Monk,Malik,Monk,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628370.png
411,1630699,MarJon Beauchamp,MarJon,Beauchamp,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630699.png
412,202694,Marcus Morris Sr.,Marcus,Morris Sr.,True,https://cdn.nba.com/headshots/nba/latest/1040x760/202694.png
413,1631204,Marcus Sasser,Marcus,Sasser,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631204.png
414,203935,Marcus Smart,Marcus,Smart,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203935.png
415,1631109,Mark Williams,Mark,Williams,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631109.png
416,1628365,Markelle Fultz,Markelle,Fultz,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628365.png
417,202693,Markieff Morris,Markieff,Morris,True,https://cdn.nba.com/headshots/nba/latest/1040x760/202693.png
418,1641806,Markquis Nowell,Markquis,Nowell,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641806.png
419,1629716,Marques Bolden,Marques,Bolden,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629716.png
420,1628963,Marvin Bagley III,Marvin,Bagley III,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628963.png
421,203486,Mason Plumlee,Mason,Plumlee,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203486.png
422,1629680,Matisse Thybulle,Matisse,Thybulle,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629680.png
423,1630562,Matt Hurt,Matt,Hurt,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630562.png
424,1630346,Matt Ryan,Matt,Ryan,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630346.png
425,1630571,Matthew Mayer,Matthew,Mayer,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630571.png
426,1631108,Max Christie,Max,Christie,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631108.png
427,1641972,Max Heidegger,Max,Heidegger,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641972.png
428,1629622,Max Strus,Max,Strus,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629622.png
429,1628467,Maxi Kleber,Maxi,Kleber,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628467.png
430,1641721,Maxwell Lewis,Maxwell,Lewis,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641721.png
431,1630695,Micah Potter,Micah,Potter,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630695.png
432,1629008,Michael Porter Jr.,Michael,Porter Jr.,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629008.png
433,1628969,Mikal Bridges,Mikal,Bridges,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628969.png
434,201144,Mike Conley,Mike,Conley,True,https://cdn.nba.com/headshots/nba/latest/1040x760/201144.png
435,1641756,Mike Miles Jr.,Mike,Miles Jr.,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641756.png
436,203488,Mike Muscala,Mike,Muscala,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203488.png
437,1628970,Miles Bridges,Miles,Bridges,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1628970.png
438,1630540,Miles McBride,Miles,McBride,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630540.png
439,1641936,Miles Norris,Miles,Norris,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1641936.png
440,1629011,Mitchell Robinson,Mitchell,Robinson,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629011.png
