,ID,FIRST_NAME,LAST_NAME,FULL_NAME,ACTIVE,IMAGE_URL
2821,77498,McAdoo,Bob,Bob McAdoo,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77498.png
2822,203949,McAdoo,James Michael,James Michael McAdoo,False,https://cdn.nba.com/headshots/nba/latest/1040x760/203949.png
2823,77499,McBride,Ken,Ken McBride,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77499.png
2824,1630540,McBride,Miles,Miles McBride,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630540.png
2825,1628769,McCall,Tahjere,Tahjere McCall,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1628769.png
2826,203492,McCallum,Ray,Ray McCallum,False,https://cdn.nba.com/headshots/nba/latest/1040x760/203492.png
2827,737,McCann,Bob,Bob McCann,False,https://cdn.nba.com/headshots/nba/latest/1040x760/737.png
2828,77500,McCann,Brendan,Brendan McCann,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77500.png
2829,77502,McCants,Mel,Mel McCants,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77502.png
2830,101119,McCants,Rashad,Rashad McCants,False,https://cdn.nba.com/headshots/nba/latest/1040x760/101119.png
2831,77503,McCarron,Mike,Mike McCarron,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77503.png
2832,77504,McCarter,Andre,Andre McCarter,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77504.png
2833,77505,McCarter,Willie,Willie McCarter,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77505.png
2834,77506,McCarthy,Johnny,Johnny McCarthy,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77506.png
2835,77507,McCarty,Howie,Howie McCarty,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77507.png
2836,1820,McCarty,Kelly,Kelly McCarty,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1820.png
2837,962,McCarty,Walter,Walter McCarty,False,https://cdn.nba.com/headshots/nba/latest/1040x760/962.png
2838,1043,McCaskill,Amal,Amal McCaskill,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1043.png
2839,1627775,McCaw,Patrick,Patrick McCaw,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1627775.png
2840,77509,McClain,Dwayne,Dwayne McClain,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77509.png
2841,77510,McClain,Ted 'Hound Dog',Ted 'Hound Dog' McClain,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77510.png
2842,2082,McClintock,Dan,Dan McClintock,False,https://cdn.nba.com/headshots/nba/latest/1040x760/2082.png
2843,77512,McCloskey,Jack,Jack McCloskey,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77512.png
2844,45,McCloud,George,George McCloud,False,https://cdn.nba.com/headshots/nba/latest/1040x760/45.png
2845,1630644,McClung,Mac,Mac McClung,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630644.png
2846,203468,McCollum,CJ,CJ McCollum,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203468.png
2847,77513,McConathy,John,John McConathy,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77513.png
2848,77514,McConnell,Paul,Paul McConnell,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77514.png
2849,204456,McConnell,T.J.,T.J. McConnell,True,https://cdn.nba.com/headshots/nba/latest/1040x760/204456.png
2850,77515,McCord,Keith,Keith McCord,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77515.png
2851,77516,McCormick,Tim,Tim McCormick,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77516.png
2852,1741,McCoy,Jelani,Jelani McCoy,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1741.png
2853,77517,McCracken,Paul,Paul McCracken,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77517.png
2854,200840,McCray,Chris,Chris McCray,False,https://cdn.nba.com/headshots/nba/latest/1040x760/200840.png
2855,1622,McCray,Rodney,Rodney McCray,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1622.png
2856,77518,McCray,Scooter,Scooter McCray,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77518.png
2857,1628571,McCree,Erik,Erik McCree,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1628571.png
2858,1626191,McCullough,Chris,Chris McCullough,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1626191.png
2859,77520,McCullough,John,John McCullough,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77520.png
2860,723,McDaniel,Clint,Clint McDaniel,False,https://cdn.nba.com/headshots/nba/latest/1040x760/723.png
2861,1365,McDaniel,Xavier,Xavier McDaniel,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1365.png
2862,1630183,McDaniels,Jaden,Jaden McDaniels,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1630183.png
2863,1629667,McDaniels,Jalen,Jalen McDaniels,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629667.png
2864,77523,McDaniels,Jim,Jim McDaniels,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77523.png
2865,203909,McDaniels,KJ,KJ McDaniels,False,https://cdn.nba.com/headshots/nba/latest/1040x760/203909.png
2866,203926,McDermott,Doug,Doug McDermott,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203926.png
2867,1630253,McDermott,Sean,Sean McDermott,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1630253.png
2868,77524,McDonald,Ben,Ben McDonald,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77524.png
2869,77525,McDonald,Glenn,Glenn McDonald,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77525.png
2870,1075,McDonald,Michael,Michael McDonald,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1075.png
2871,77527,McDowell,Hank,Hank McDowell,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77527.png
2872,686,McDyess,Antonio,Antonio McDyess,False,https://cdn.nba.com/headshots/nba/latest/1040x760/686.png
2873,77528,McElroy,Jim,Jim McElroy,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77528.png
2874,200829,McFarlin,Ivan,Ivan McFarlin,False,https://cdn.nba.com/headshots/nba/latest/1040x760/200829.png
2875,77529,McGaha,Mel,Mel McGaha,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77529.png
2876,203956,McGary,Mitch,Mitch McGary,False,https://cdn.nba.com/headshots/nba/latest/1040x760/203956.png
2877,201580,McGee,JaVale,JaVale McGee,True,https://cdn.nba.com/headshots/nba/latest/1040x760/201580.png
2878,77530,McGee,Mike,Mike McGee,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77530.png
2879,77531,McGill,Bill,Bill McGill,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77531.png
2880,77532,McGinnis,George,George McGinnis,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77532.png
2881,77533,McGlocklin,Jon,Jon McGlocklin,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77533.png
2882,1631121,McGowens,Bryce,Bryce McGowens,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1631121.png
2883,1503,McGrady,Tracy,Tracy McGrady,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1503.png
2884,77534,McGregor,Gil,Gil McGregor,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77534.png
2885,1630787,McGriff,Cameron,Cameron McGriff,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1630787.png
2886,203585,McGruder,Rodney,Rodney McGruder,True,https://cdn.nba.com/headshots/nba/latest/1040x760/203585.png
2887,77536,McGuire,Al,Al McGuire,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77536.png
2888,77535,McGuire,Allie,Allie McGuire,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77535.png
2889,77537,McGuire,Dick,Dick McGuire,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77537.png
2890,201187,McGuire,Dominic,Dominic McGuire,False,https://cdn.nba.com/headshots/nba/latest/1040x760/201187.png
2891,1450,McHale,Kevin,Kevin McHale,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1450.png
2892,29,McIlvaine,Jim,Jim McIlvaine,False,https://cdn.nba.com/headshots/nba/latest/1040x760/29.png
2893,976,McInnis,Jeff,Jeff McInnis,False,https://cdn.nba.com/headshots/nba/latest/1040x760/976.png
2894,77540,McIntosh,Kenny,Kenny McIntosh,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77540.png
2895,77541,McKenna,Kevin,Kevin McKenna,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77541.png
2896,77542,McKenzie,Forrest,Forrest McKenzie,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77542.png
2897,77543,McKenzie,Stan,Stan McKenzie,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77543.png
2898,365,McKey,Derrick,Derrick McKey,False,https://cdn.nba.com/headshots/nba/latest/1040x760/365.png
2899,243,McKie,Aaron,Aaron McKie,False,https://cdn.nba.com/headshots/nba/latest/1040x760/243.png
2900,77547,McKinney,Billy,Billy McKinney,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77547.png
2901,77545,McKinney,Carlton,Carlton McKinney,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77545.png
2902,77546,McKinney,Horace,Horace McKinney,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77546.png
2903,203590,McKinney-Jones,Trey,Trey McKinney-Jones,False,https://cdn.nba.com/headshots/nba/latest/1040x760/203590.png
2904,1628035,McKinnie,Alfonzo,Alfonzo McKinnie,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1628035.png
2905,1630605,McLaughlin,JaQuori,JaQuori McLaughlin,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1630605.png
2906,1629162,McLaughlin,Jordan,Jordan McLaughlin,True,https://cdn.nba.com/headshots/nba/latest/1040x760/1629162.png
2907,203463,McLemore,Ben,Ben McLemore,False,https://cdn.nba.com/headshots/nba/latest/1040x760/203463.png
2908,77548,McLemore,Mccoy,Mccoy McLemore,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77548.png
2909,77549,McLeod,George,George McLeod,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77549.png
2910,2693,McLeod,Keith,Keith McLeod,False,https://cdn.nba.com/headshots/nba/latest/1040x760/2693.png
2911,1728,McLeod,Roshown,Roshown McLeod,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1728.png
2912,77551,McMahon,Jack,Jack McMahon,False,https://cdn.nba.com/headshots/nba/latest/1040x760/77551.png
2913,203,McMillan,Nate,Nate McMillan,False,https://cdn.nba.com/headshots/nba/latest/1040x760/203.png
