,ID,TEAM,JERSEY_NUM,POSITION,COUNTRY,AGE,BD_YEAR,BD_MONTH,BD_DAY,EXPERIENCE
411,203957,Utah Jazz,0.0,Guard,Australia,28.0,1995.0,JULY,13.0,6
412,1630235,Atlanta Hawks,2.0,Guard,USA,25.0,1998.0,JUNE,12.0,3
413,1631216,Orlando Magic,2.0,Guard,Canada,20.0,2003.0,JANUARY,9.0,1
414,203487,Orlando Magic,11.0,Guard,USA,,1991.0,OCTOBER,10.0,10
415,1630241,Cleveland Cavaliers,5.0,Guard,USA,27.0,1996.0,MAY,15.0,3
416,1629685,New York Knicks,20.0,Guard-Forward,USA,27.0,1996.0,SEPTEMBER,22.0,3
417,1630553,Phoenix Suns,6.0,Guard,USA,21.0,2002.0,MARCH,10.0,2
418,1627788,Philadelphia 76ers,30.0,Guard-Forward,Turkey,26.0,1997.0,JULY,24.0,6
419,201949,Indiana Pacers,16.0,Forward,USA,,1987.0,FEBRUARY,20.0,15
420,1630556,Sacramento Kings,17.0,Forward,USA,23.0,2000.0,AUGUST,9.0,2
421,1630346,Minnesota Timberwolves,37.0,Forward,USA,26.0,1997.0,APRIL,17.0,2
422,1630531,Philadelphia 76ers,11.0,Guard,USA,21.0,2002.0,SEPTEMBER,25.0,2
423,201571,Houston Rockets,4.0,Guard,USA,,1987.0,NOVEMBER,10.0,15
424,1631288,Miami Heat,8.0,Forward,USA,24.0,1999.0,MARCH,20.0,1
425,1630225,Washington Wizards,14.0,Forward,USA,,2001.0,OCTOBER,17.0,3
426,1629674,Boston Celtics,88.0,Center,Portugal,24.0,1999.0,JULY,13.0,2
427,1629623,Milwaukee Bucks,28.0,Guard,Canada,25.0,1998.0,MARCH,28.0,2
428,1629678,Orlando Magic,25.0,Forward,United Kingdom,26.0,1997.0,MARCH,30.0,3
429,2617,Miami Heat,40.0,Forward,USA,,1980.0,JUNE,9.0,21
430,1630604,New Orleans Pelicans,32.0,Forward,USA,22.0,2000.0,DECEMBER,18.0,Rookie
431,1631169,Minnesota Timberwolves,8.0,Forward,USA,20.0,2002.0,NOVEMBER,25.0,1
432,202066,Toronto Raptors,14.0,Guard-Forward,USA,37.0,1986.0,MAY,8.0,13
433,1630600,Cleveland Cavaliers,15.0,Forward,USA,24.0,1999.0,SEPTEMBER,24.0,1
434,1629312,Miami Heat,24.0,Forward,USA,26.0,1996.0,DECEMBER,9.0,3
435,1629662,Boston Celtics,28.0,Center,Canada,,1997.0,AUGUST,14.0,4
436,1629610,New York Knicks,8.0,Guard-Forward,USA,26.0,1997.0,AUGUST,30.0,4
437,1630551,Miami Heat,99.0,Guard-Forward,USA,22.0,2001.0,JUNE,29.0,2
438,1631120,Boston Celtics,20.0,Guard,USA,21.0,2002.0,OCTOBER,3.0,1
439,1631367,Memphis Grizzlies,0,Guard,USA,25,1998,JULY,14,1
440,1631217,LA Clippers,25.0,Forward,France,21.0,2002.0,JANUARY,21.0,1
441,1631112,Indiana Pacers,10.0,Guard,USA,20.0,2003.0,MAY,11.0,1
442,1631197,Detroit Pistons,8.0,Guard,USA,24.0,1999.0,AUGUST,27.0,1
443,1630284,Orlando Magic,8.0,Guard,USA,26.0,1997.0,JUNE,24.0,1
444,1631303,Portland Trail Blazers,24,Forward,USA,24,1999,MARCH,26,1
445,1629603,New York Knicks,21.0,Forward,Guinea,26.0,1997.0,JANUARY,21.0,3
446,1630644,Orlando Magic,10.0,Guard,USA,24.0,1999.0,JANUARY,6.0,2
447,1631246,Memphis Grizzlies,5.0,Guard,USA,23.0,2000.0,AUGUST,30.0,1
448,1631199,Toronto Raptors,8.0,Forward,USA,23.0,2000.0,APRIL,12.0,1
449,1631221,Denver Nuggets,21.0,Guard,USA,24.0,1999.0,JUNE,25.0,Rookie
450,1630590,Los Angeles Lakers,14.0,Guard,USA,22.0,2000.0,NOVEMBER,10.0,2
451,1631309,Houston Rockets,12.0,Guard,USA,24.0,1999.0,MARCH,23.0,1
452,1631205,Detroit Pistons,27.0,Forward,USA,23.0,1999.0,NOVEMBER,11.0,1
453,1630577,San Antonio Spurs,30.0,Forward,USA,22.0,2001.0,JUNE,29.0,1
454,1630548,Utah Jazz,33.0,Guard,USA,22.0,2001.0,MARCH,17.0,1
455,1631157,Washington Wizards,9.0,Guard,USA,21.0,2002.0,JULY,3.0,1
456,1630593,Dallas Mavericks,23.0,Guard,USA,,1998.0,OCTOBER,25.0,3
457,0000000000,,,,,,,,,
458,1631165,Sacramento Kings,23.0,Guard,USA,23.0,2000.0,JANUARY,8.0,1
459,1631230,San Antonio Spurs,26.0,Forward,USA,20.0,2003.0,MAY,26.0,1
460,1630639,Dallas Mavericks,9.0,Guard,Canada,23.0,2000.0,JULY,15.0,1
461,1630637,Chicago Bulls,22,Guard,USA,25,1997,DECEMBER,23,2
462,0000000000,,,,,,,,,
463,1630696,Miami Heat,9.0,Guard,USA,25.0,1997.0,DECEMBER,30.0,1
464,1630206,Boston Celtics,55.0,Guard,USA,23.0,2000.0,SEPTEMBER,1.0,3
465,1629875,LA Clippers,15.0,Guard,USA,28.0,1995.0,JANUARY,2.0,2
466,1628221,Indiana Pacers,32.0,Guard,USA,,1993.0,AUGUST,2.0,3
467,1630620,Houston Rockets,5.0,Forward,USA,24.0,1999.0,OCTOBER,20.0,1
468,1631220,New Orleans Pelicans,0.0,Guard,USA,23.0,2000.0,MAY,26.0,1
469,1630695,Utah Jazz,25.0,Center,USA,25.0,1998.0,APRIL,6.0,2
470,1631171,Chicago Bulls,34.0,Forward,USA,21.0,2002.0,APRIL,12.0,Rookie
471,1631298,Oklahoma City Thunder,10.0,Forward,Australia,26.0,1997.0,AUGUST,5.0,1
472,1630846,Oklahoma City Thunder,30.0,Center,France,24.0,1999.0,FEBRUARY,20.0,2
473,1630641,Portland Trail Blazers,41.0,Center,Senegal,21.0,2002.0,OCTOBER,13.0,Rookie
474,1630643,Denver Nuggets,34.0,Center,USA,26.0,1997.0,AUGUST,25.0,2
475,1630296,Denver Nuggets,11.0,Forward,USA,26.0,1997.0,FEBRUARY,14.0,2
